File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756114431,25.31,1.65,4831,160,4779,111,52,50
256K,fio-test-1756114436,24.90,6.52,0,0,0,0,0,0
1M,fio-test-1756114441,18.61,19.51,3988,141,3915,97,74,44
4M,fio-test-1756114446,47.71,50.03,2933,159,2768,110,166,50
16M,fio-test-1756114451,78.80,82.62,2545,139,2424,96,122,42
64M,fio-test-1756114456,162.45,170.34,3259,170,2810,118,450,72
100M,fio-test-1756114461,221.73,232.49,4653,209,4406,101,593,108
256M,fio-test-1756114466,358.05,375.44,3861,339,3847,125,1003,214
1G,fio-test-1756114471,515.55,540.59,4322,330,4140,131,1427,213
4G,fio-test-1756114476,498.55,522.76,4202,414,4188,200,1702,217
10G,fio-test-1756114481,547.94,574.55,3057,413,2059,247,1730,218
