File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756120110,22.07,1.44,2535,159,2495,109,45,49
256K,fio-test-1756120115,24.57,6.43,2909,158,2843,108,67,49
1M,fio-test-1756120120,16.84,17.66,3043,184,2970,137,74,47
4M,fio-test-1756120125,65.40,68.57,3364,162,3159,113,205,49
16M,fio-test-1756120130,73.54,77.10,3357,167,3269,111,214,55
64M,fio-test-1756120135,197.45,207.04,3837,203,3272,119,566,93
100M,fio-test-1756120140,286.23,300.13,723,191,558,96,713,95
256M,fio-test-1756120145,417.29,437.55,5753,378,4675,126,1166,261
1G,fio-test-1756120150,538.68,564.84,4989,440,3815,130,1596,310
4G,fio-test-1756120155,836.39,877.01,4121,514,2526,200,2482,315
10G,fio-test-1756120160,811.50,850.92,6232,515,4568,197,2361,317
