File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756179801,15.14,.98,0,0,0,0,0,0
256K,fio-test-1756179806,18.66,4.88,2485,147,2451,107,43,39
1M,fio-test-1756179811,13.23,13.87,3196,147,3174,107,61,42
4M,fio-test-1756179816,18.04,18.91,1909,157,1812,111,101,45
16M,fio-test-1756179821,16.53,17.33,2292,156,2222,111,136,45
64M,fio-test-1756179826,10.84,11.36,3141,156,3090,112,104,44
100M,fio-test-1756179831,10.84,11.36,3887,165,3870,120,112,47
256M,fio-test-1756179836,10.11,10.60,3024,156,3012,110,107,46
1G,fio-test-1756179841,9.79,10.26,4054,158,4037,112,124,46
4G,fio-test-1756179846,8.04,8.43,1772,205,1688,180,104,43
10G,fio-test-1756179851,8.16,8.56,2064,152,2018,110,99,45
