File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756202144,68.41,4.48,1810,178,1731,115,106,65
256K,fio-test-1756202149,73.02,19.13,2172,182,2055,113,137,69
1M,fio-test-1756202154,64.76,67.90,3627,177,3389,116,238,61
4M,fio-test-1756202159,192.47,201.82,3730,191,3212,127,519,72
16M,fio-test-1756202164,317.79,333.22,3915,187,3221,111,694,76
64M,fio-test-1756202169,532.11,557.96,3171,327,2002,140,1810,196
100M,fio-test-1756202174,736.08,771.83,3970,246,3585,123,1935,122
256M,fio-test-1756202179,1002.40,1051.08,5078,751,3234,180,3475,589
1G,fio-test-1756202184,1425.05,1494.27,5771,919,3078,203,5260,716
4G,fio-test-1756202189,1355.93,1421.80,6734,1183,1995,488,5068,720
10G,fio-test-1756202194,1453.72,1524.33,7434,1188,4812,474,6017,727
