File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756311323,140.11,9.17,1740,196,1684,116,190,81
256K,fio-test-1756311328,148.01,38.79,1513,212,1389,123,168,88
1M,fio-test-1756311333,132.84,139.29,1654,189,1398,115,319,80
4M,fio-test-1756311338,421.16,441.61,3093,231,2346,137,959,93
16M,fio-test-1756311343,627.67,658.16,4379,272,2494,134,1885,137
64M,fio-test-1756311348,147.66,154.83,2609,492,1815,158,1446,335
100M,fio-test-1756311353,126.18,132.30,2237,497,1449,151,1121,346
256M,fio-test-1756311358,128.33,134.56,2197,482,1447,154,1093,330
1G,fio-test-1756311363,103.33,108.35,2608,468,1930,143,899,328
4G,fio-test-1756311367,111.87,117.30,2637,473,1979,147,907,327
10G,fio-test-1756311373,82.51,86.51,3172,466,2867,139,736,328
