File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756307576,182.53,11.95,2294,310,2065,118,230,197
256K,fio-test-1756307581,216.43,56.73,2562,368,2311,167,269,245
1M,fio-test-1756307586,200.35,210.08,3190,271,2853,107,464,167
4M,fio-test-1756307591,731.46,766.99,3889,332,3312,123,1388,209
16M,fio-test-1756307596,1166.16,1222.81,1809,265,1707,109,102,156
64M,fio-test-1756307601,180.45,189.21,0,0,0,0,0,0
100M,fio-test-1756307606,244.80,256.68,3534,666,1766,165,2233,514
256M,fio-test-1756307611,219.05,229.69,3952,676,2555,184,1952,498
1G,fio-test-1756307616,150.97,158.30,3206,675,2147,158,1542,521
4G,fio-test-1756307621,105.25,110.36,2954,791,2426,144,1119,659
10G,fio-test-1756307626,122.22,128.15,3355,672,2728,154,1355,525
