File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756428861,135.91,8.90,2074,192,1938,117,136,76
256K,fio-test-1756428866,131.03,34.34,1520,193,1459,120,197,75
1M,fio-test-1756428871,109.58,114.90,2868,194,2732,123,163,70
4M,fio-test-1756428876,182.23,191.08,2307,209,1919,139,733,76
16M,fio-test-1756428881,130.64,136.98,2136,201,1632,133,729,67
64M,fio-test-1756428886,117.23,122.92,2195,222,2083,152,953,71
100M,fio-test-1756428891,114.31,119.85,2687,216,2056,149,1034,67
256M,fio-test-1756428896,89.11,93.44,2019,208,1505,144,814,66
1G,fio-test-1756428901,95.59,100.23,3469,212,3245,146,931,65
4G,fio-test-1756428906,79.79,83.66,3726,206,3702,143,833,63
10G,fio-test-1756428911,72.59,76.12,2320,203,2144,141,784,64
