File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756302666,125.41,8.21,2063,468,1977,117,174,350
256K,fio-test-1756302671,110.96,29.08,0,0,0,0,0,0
1M,fio-test-1756302676,113.53,119.04,0,0,0,0,0,0
4M,fio-test-1756302681,233.11,244.43,2659,401,1697,135,962,267
16M,fio-test-1756302686,257.74,270.26,3662,310,2847,132,1203,178
64M,fio-test-1756302691,140.43,147.25,2501,558,1692,160,1358,399
100M,fio-test-1756302696,177.23,185.83,2787,417,1830,155,1811,266
256M,fio-test-1756302701,166.10,174.16,3142,401,2058,197,1889,228
1G,fio-test-1756302706,137.63,144.31,2607,384,1691,157,1575,229
4G,fio-test-1756302711,86.55,90.75,3034,392,2382,157,1114,259
10G,fio-test-1756302716,92.60,97.09,2736,370,2593,146,1363,226
