File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756211955,181.45,11.89,1809,291,1755,119,189,173
256K,fio-test-1756211960,173.04,45.35,2548,298,2409,116,211,182
1M,fio-test-1756211965,198.79,208.44,2771,273,2367,113,404,160
4M,fio-test-1756211970,408.88,428.73,708,340,481,89,228,250
16M,fio-test-1756211975,1195.44,1253.51,2438,313,2065,121,373,191
64M,fio-test-1756211980,1188.14,1245.85,0,0,0,0,0,0
100M,fio-test-1756211985,1624.04,1702.92,3987,801,2464,146,3604,654
256M,fio-test-1756211990,2235.08,2343.65,7435,1140,2867,254,4568,886
1G,fio-test-1756211995,2465.25,2585.00,7488,1385,3239,294,5693,1090
4G,fio-test-1756212000,2638.14,2766.28,8841,1923,2329,866,7739,1089
10G,fio-test-1756212005,2535.11,2658.25,8497,1891,2373,822,7441,1108
