File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756206739,142.64,9.34,1584,186,1546,115,147,74
256K,fio-test-1756206744,112.84,29.57,1648,195,1604,117,162,78
1M,fio-test-1756206749,131.12,137.48,0,0,0,0,0,0
4M,fio-test-1756206754,490.10,513.91,3527,195,2910,127,871,72
16M,fio-test-1756206759,729.84,765.29,2487,168,2184,113,303,55
64M,fio-test-1756206764,1206.14,1264.72,5378,244,2500,177,2879,67
100M,fio-test-1756206769,1145.35,1200.98,0,0,0,0,0,0
256M,fio-test-1756206774,1221.12,1280.44,5135,329,2080,258,3356,73
1G,fio-test-1756206779,1154.61,1210.69,5016,370,2803,301,3693,73
4G,fio-test-1756206784,1342.49,1407.70,4854,558,2168,490,3662,68
10G,fio-test-1756206789,1385.79,1453.10,5271,564,2138,496,3859,69
