File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756230053,172.38,11.29,1733,301,1651,116,141,185
256K,fio-test-1756230058,101.15,26.51,2069,367,1999,115,199,257
1M,fio-test-1756230063,172.71,181.09,2710,293,2466,128,244,165
4M,fio-test-1756230068,346.68,363.51,2855,353,2398,138,457,216
16M,fio-test-1756230073,1139.93,1195.30,2058,259,1777,109,281,150
64M,fio-test-1756230078,1381.58,1448.69,3464,383,1595,168,2064,224
100M,fio-test-1756230083,1656.63,1737.10,5174,350,3964,152,2004,198
256M,fio-test-1756230088,1454.53,1525.18,5168,489,2442,259,3456,231
1G,fio-test-1756230093,1658.57,1739.13,5782,572,2914,300,4027,272
4G,fio-test-1756230098,1569.90,1646.15,4891,861,2004,600,4256,277
10G,fio-test-1756230103,1848.48,1938.26,6186,948,2068,724,5327,233
