File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_Mi,FIO_CPU_m,FIO_Memory_Mi,GCS_FUSE_CPU_m,GCS_FUSE_Memory_Mi
64K,fio-test-1756059321,14.40,.94,1194,234,1045,91,323,143
256K,fio-test-1756059326,13.56,3.55,1695,231,1580,166,385,146
1M,fio-test-1756059331,11.71,12.28,1563,233,1375,90,189,143
4M,fio-test-1756059336,33.25,34.87,1930,239,1887,93,225,145
16M,fio-test-1756059341,66.32,69.55,2229,231,2056,91,173,140
64M,fio-test-1756059346,119.38,125.17,2924,267,2820,94,250,173
100M,fio-test-1756059351,196.27,205.80,285,113,0,0,285,113
256M,fio-test-1756059356,220.57,231.28,2806,265,2794,105,817,174
1G,fio-test-1756059361,591.77,620.51,4403,466,4232,100,172,366
4G,fio-test-1756059366,755.80,792.51,5045,519,4986,136,1615,383
10G,fio-test-1756059371,773.26,810.82,3110,491,1944,114,2110,376
