File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756458270,121.75,7.97,484,128,468,96,17,31
256K,fio-test-1756458275,119.50,31.32,1656,205,1519,120,145,86
1M,fio-test-1756458280,146.29,153.39,2812,207,2536,129,387,79
4M,fio-test-1756458285,339.49,355.98,4719,235,3700,139,1019,96
16M,fio-test-1756458290,673.26,705.96,2862,248,1792,170,1070,130
64M,fio-test-1756458295,171.91,180.26,3465,519,2480,172,1629,354
100M,fio-test-1756458300,162.59,170.48,3628,513,2683,183,1464,347
256M,fio-test-1756458305,102.13,107.09,2396,482,1899,149,957,334
1G,fio-test-1756458310,98.21,102.98,2350,471,1886,144,912,328
4G,fio-test-1756458315,77.92,81.70,2338,467,2070,140,743,328
10G,fio-test-1756458320,70.91,74.35,2650,465,2493,139,718,327
