File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1757485333,33.42,2.18,493,225,383,92,110,132
256K,fio-test-1757485338,27.73,7.26,2258,237,2214,96,118,166
1M,fio-test-1757485343,27.67,29.01,0,0,0,0,0,0
4M,fio-test-1757485348,92.34,96.82,3404,266,3247,100,158,165
16M,fio-test-1757485353,180.61,189.38,757,342,516,180,242,161
64M,fio-test-1757485358,335.37,351.66,5617,398,4901,180,717,221
100M,fio-test-1757485363,413.12,433.18,4555,229,4375,101,180,127
256M,fio-test-1757485368,602.46,631.72,4222,335,3912,117,712,217
1G,fio-test-1757485373,912.75,957.08,4433,519,3853,125,1722,519
4G,fio-test-1757485378,982.51,1030.23,4509,802,2226,196,2297,605
10G,fio-test-1757485383,1000.51,1049.11,4449,752,3278,197,2252,583
