File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1757484544,23.30,1.52,1611,283,1578,106,90,199
256K,fio-test-1757484549,25.09,6.57,1753,285,1721,109,99,175
1M,fio-test-1757484554,23.06,24.17,1536,326,1488,181,175,160
4M,fio-test-1757484559,85.67,89.83,4687,254,4542,105,146,148
16M,fio-test-1757484564,196.20,205.72,2012,245,1868,101,145,143
64M,fio-test-1757484569,275.97,289.37,6247,294,5797,121,450,173
100M,fio-test-1757484574,341.65,358.25,777,307,516,167,261,140
256M,fio-test-1757484579,350.55,367.57,3541,340,2913,157,666,215
1G,fio-test-1757484584,418.68,439.01,3164,307,3037,132,776,179
4G,fio-test-1757484589,257.95,270.48,2245,401,1809,194,799,216
10G,fio-test-1757484594,264.29,277.13,3194,410,2596,199,822,226
