File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1757489311,34.28,2.24,3179,286,3095,110,85,175
256K,fio-test-1757489316,32.50,8.51,2767,268,2674,109,99,158
1M,fio-test-1757489321,28.18,29.54,4831,287,4719,148,113,179
4M,fio-test-1757489326,94.88,99.48,4781,269,4592,109,190,160
16M,fio-test-1757489331,120.05,125.88,5110,346,4883,111,284,234
64M,fio-test-1757489336,23.59,24.73,2432,441,2144,120,324,332
100M,fio-test-1757489341,22.99,24.11,2408,463,2225,113,322,350
256M,fio-test-1757489346,25.75,27.00,2784,450,2553,126,294,334
1G,fio-test-1757489351,21.60,22.64,3355,434,3136,112,240,322
4G,fio-test-1757489356,18.86,19.78,2046,443,1853,166,205,332
10G,fio-test-1757489361,18.62,19.52,2814,442,2664,147,207,332
