File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1757488547,35.33,2.31,2314,274,2275,149,119,127
256K,fio-test-1757488552,22.47,5.88,1704,337,1606,109,99,228
1M,fio-test-1757488557,20.81,21.82,3227,238,3174,112,82,137
4M,fio-test-1757488562,46.04,48.27,3327,303,3104,111,223,192
16M,fio-test-1757488567,38.29,40.15,3706,294,3559,110,281,184
64M,fio-test-1757488572,30.48,31.96,1975,315,1737,118,267,200
100M,fio-test-1757488577,30.59,32.07,2786,365,2537,151,274,252
256M,fio-test-1757488582,27.70,29.04,1986,379,1720,160,278,275
1G,fio-test-1757488587,23.21,24.33,1964,398,1761,115,240,284
4G,fio-test-1757488592,20.01,20.98,2700,371,2513,113,216,261
10G,fio-test-1757488597,19.43,20.37,4014,395,3883,113,219,283
