File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756099698,32.19,2.10,410,135,369,91,41,43
256K,fio-test-1756099703,30.69,8.04,345,123,331,93,14,29
1M,fio-test-1756099708,26.29,27.57,3275,141,3237,98,38,42
4M,fio-test-1756099713,30.69,32.18,1755,142,1703,94,53,48
16M,fio-test-1756099718,126.68,132.83,0,0,0,0,0,0
64M,fio-test-1756099723,13.34,13.99,1977,177,1891,95,144,82
100M,fio-test-1756099728,15.42,16.16,4182,179,4131,97,157,82
256M,fio-test-1756099733,18.16,19.04,0,0,0,0,0,0
1G,fio-test-1756099738,11.27,11.82,4286,174,4265,97,101,80
4G,fio-test-1756099743,15.47,16.22,4124,176,4066,99,145,82
10G,fio-test-1756099748,13.11,13.74,2940,175,2855,95,119,80
