File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756089890,16.40,1.06,1668,193,1638,167,34,42
256K,fio-test-1756089895,20.92,5.48,2154,152,2103,109,51,43
1M,fio-test-1756089900,13.14,13.77,3926,208,3878,179,48,40
4M,fio-test-1756089905,42.81,44.88,0,0,0,0,0,0
16M,fio-test-1756089910,72.76,76.29,3183,139,3096,103,88,35
64M,fio-test-1756089915,111.55,116.97,2769,160,2476,120,293,41
100M,fio-test-1756089920,120.41,126.26,3339,138,3030,98,310,40
256M,fio-test-1756089925,138.13,144.84,2680,172,2539,128,428,43
1G,fio-test-1756089930,165.23,173.25,3713,174,3684,132,447,42
4G,fio-test-1756089935,148.36,155.56,3879,194,3866,153,481,43
10G,fio-test-1756089940,160.53,168.33,3367,199,3012,156,430,43
